debiaswe_professions,hundred_year_professions
accountant,accountant
actor,
actress,
adjunct_professor,
administrator,administrator
adventurer,
advocate,
aide,
alderman,
ambassador,
analyst,
anthropologist,
archaeologist,
archbishop,
architect,architect
artist,artist
artiste,
assassin,
assistant_professor,
associate_dean,
associate_professor,
astronaut,
astronomer,
athlete,athlete
athletic_director,
,attendant
attorney,
,auctioneer
author,author
,bailiff
baker,baker
ballerina,
ballplayer,
banker,
barber,
baron,
barrister,
bartender,
biologist,
bishop,
,blacksmith
bodyguard,
bookkeeper,
boss,
boxer,
broadcaster,
broker,broker
bureaucrat,
businessman,
businesswoman,
butcher,
butler,
cab_driver,
cabbie,
cameraman,
campaigner,
captain,
cardiologist,
caretaker,
carpenter,carpenter
cartoonist,
,cashier
cellist,
chancellor,
chaplain,
chef,
chemist,chemist
choreographer,
cinematographer,
civil_servant,
,clergy
cleric,
,clerical
clerk,clerk
coach,
collector,collector
colonel,
columnist,
comedian,
comic,
commander,
commentator,
commissioner,
composer,
conductor,conductor
confesses,
congressman,
constable,
consultant,
,cook
cop,
correspondent,
councilman,
councilor,
counselor,
critic,
crooner,
crusader,
curator,
custodian,
dancer,dancer
dean,
dentist,dentist
deputy,
dermatologist,
,designer
detective,
diplomat,
director,
disc_jockey,
doctor,doctor
doctoral_student,
,driver
drug_addict,
drummer,
economics_professor,
economist,economist
editor,
educator,
electrician,
employee,
,engineer
entertainer,
entrepreneur,
environmentalist,
envoy,
epidemiologist,
evangelist,
farmer,farmer
fashion_designer,
fighter_pilot,
filmmaker,
financier,
firebrand,
firefighter,
fireman,
fisherman,
footballer,
foreman,
freelance_writer,
gangster,
gardener,gardener
geologist,geologist
goalkeeper,
graphic_designer,
,guard
guidance_counselor,
guitarist,
hairdresser,
handyman,
headmaster,
historian,
hitman,
homemaker,
hooker,
housekeeper,housekeeper
housewife,
illustrator,
industrialist,
infielder,
inspector,inspector
instructor,instructor
interior_designer,
inventor,
investigator,
investment_banker,
janitor,janitor
jeweler,
journalist,
judge,judge
jurist,
laborer,laborer
landlord,
lawmaker,
lawyer,lawyer
lecturer,
legislator,
librarian,librarian
lieutenant,
lifeguard,
lyricist,
maestro,
magician,
magistrate,
maid,
major_leaguer,
manager,manager
marksman,
marshal,
,mason
mathematician,mathematician
mechanic,mechanic
mediator,
medic,
midfielder,
,midwife
minister,
missionary,
mobster,
monk,
musician,musician
nanny,
narrator,
naturalist,
negotiator,
neurologist,
neurosurgeon,
novelist,
nun,
nurse,nurse
officer,
,official
,operator
organist,
painter,painter
paralegal,
parishioner,
parliamentarian,
pastor,
pathologist,
patrolman,
pediatrician,
performer,
pharmacist,
philanthropist,
philosopher,
photographer,photographer
photojournalist,
physician,physician
physicist,physicist
pianist,
,pilot
planner,
plastic_surgeon,
playwright,
plumber,
poet,
,police
policeman,
politician,
pollster,
,porter
,postmaster
preacher,
president,
priest,
principal,
prisoner,
professor,professor
professor_emeritus,
programmer,
proprietor,
prosecutor,
protege,
protester,
provost,
psychiatrist,
psychologist,psychologist
publicist,
pundit,
rabbi,
radiologist,
ranger,
realtor,
receptionist,
registered_nurse,
researcher,
restaurateur,
,retired
sailor,sailor
saint,
,sales
salesman,
saxophonist,
scholar,
scientist,scientist
screenwriter,
sculptor,
secretary,secretary
senator,
sergeant,
servant,
serviceman,
,sheriff
sheriff_deputy,
,shoemaker
shopkeeper,
singer,
singer_songwriter,
skipper,
,smith
socialite,
sociologist,
soldier,soldier
solicitor,
solicitor_general,
soloist,
sportsman,
sportswriter,
statesman,
,statistician
steward,
stockbroker,
strategist,
student,student
stylist,
substitute,
superintendent,
,supervisor
surgeon,surgeon
surveyor,surveyor
swimmer,
,tailor
taxi_driver,
teacher,teacher
technician,
therapist,
trader,
treasurer,
trooper,
trucker,
trumpeter,
tutor,
tycoon,
undersecretary,
understudy,
valedictorian,
vice_chancellor,
violinist,
vocalist,
waiter,
waitress,
warden,
warrior,
,weaver
welder,
worker,
wrestler,
writer,
